,Previous_10_Left_Choice,Previous_10_Right_Choice,Previous_10_Left_Reward,Previous_10_Right_Reward,Streak,5_Port,5_Reward,5_ITI,5_trialDuration,4_Port,4_Reward,4_ITI,4_trialDuration,3_Port,3_Reward,3_ITI,3_trialDuration,2_Port,2_Reward,2_ITI,2_trialDuration,1_Port,1_Reward,1_ITI,1_trialDuration,0_ITI,0_trialDuration,Decision
0,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.023,0.33899999999999997,1.0,1.0,2.405,0.342,1.0,1.0,6.294,0.45,1.0,1.0,1.67,0.308,1.0,1.0,2.24,0.304,2.452,0.355,1.0
1,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.405,0.342,1.0,1.0,6.294,0.45,1.0,1.0,1.67,0.308,1.0,1.0,2.24,0.304,1.0,1.0,2.452,0.355,2.225,0.33399999999999996,1.0
2,10.0,0.0,10.0,0.0,0.0,1.0,1.0,6.294,0.45,1.0,1.0,1.67,0.308,1.0,1.0,2.24,0.304,1.0,1.0,2.452,0.355,1.0,1.0,2.225,0.33399999999999996,2.323,0.301,1.0
3,10.0,0.0,10.0,0.0,0.0,1.0,1.0,1.67,0.308,1.0,1.0,2.24,0.304,1.0,1.0,2.452,0.355,1.0,1.0,2.225,0.33399999999999996,1.0,1.0,2.323,0.301,2.255,0.429,1.0
4,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.24,0.304,1.0,1.0,2.452,0.355,1.0,1.0,2.225,0.33399999999999996,1.0,1.0,2.323,0.301,1.0,1.0,2.255,0.429,2.124,0.309,1.0
5,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.452,0.355,1.0,1.0,2.225,0.33399999999999996,1.0,1.0,2.323,0.301,1.0,1.0,2.255,0.429,1.0,1.0,2.124,0.309,2.145,0.45799999999999996,1.0
6,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.225,0.33399999999999996,1.0,1.0,2.323,0.301,1.0,1.0,2.255,0.429,1.0,1.0,2.124,0.309,1.0,1.0,2.145,0.45799999999999996,1.844,0.561,1.0
7,10.0,0.0,9.0,0.0,-1.0,1.0,1.0,2.323,0.301,1.0,1.0,2.255,0.429,1.0,1.0,2.124,0.309,1.0,1.0,2.145,0.45799999999999996,1.0,0.0,1.844,0.561,1.089,0.384,1.0
8,10.0,0.0,9.0,0.0,1.0,1.0,1.0,2.255,0.429,1.0,1.0,2.124,0.309,1.0,1.0,2.145,0.45799999999999996,1.0,0.0,1.844,0.561,1.0,1.0,1.089,0.384,2.187,0.28,1.0
9,10.0,0.0,9.0,0.0,2.0,1.0,1.0,2.124,0.309,1.0,1.0,2.145,0.45799999999999996,1.0,0.0,1.844,0.561,1.0,1.0,1.089,0.384,1.0,1.0,2.187,0.28,1.5330000000000001,0.565,1.0
